term                df        offset    
02                  2         0         
09                  2         2         
1                   6         4         
1.5                 3         10        
1.84                1         13        
10                  2         14        
100                 1         16        
10th                1         17        
11                  2         18        
120                 1         20        
13                  1         21        
14                  1         22        
15                  1         23        
19                  35        24        
1950                1         59        
1974                1         60        
2                   5         61        
2,874               1         66        
200,000             1         67        
2019                3         68        
2020                7         71        
2021                1         78        
2022                5         79        
23                  3         84        
2k                  1         87        
3                   2         88        
3,000               1         90        
30,000              1         91        
300                 1         92        
3000                4         93        
30k                 1         97        
33                  1         98        
36,800,000,000      1         99        
37                  2         100       
3d                  1         102       
4                   1         103       
4.3bn               1         104       
4.5                 1         105       
40                  1         106       
48hr                1         107       
5                   2         108       
50                  1         110       
500,000             1         111       
5044081346          1         112       
5am                 1         113       
6                   1         114       
600                 1         115       
60k                 1         116       
7                   1         117       
70                  1         118       
75                  1         119       
80                  2         120       
9                   5         122       
90                  2         127       
94                  1         129       
a                   83        130       
abl                 1         213       
abolish             3         214       
about               24        217       
absolut             3         241       
access              2         244       
accommod            1         246       
accordingli         1         247       
acknowledg          3         248       
acquir              2         251       
across              1         253       
act                 1         254       
action              1         255       
actual              2         256       
addict              1         258       
addit               1         259       
admin               3         260       
admiss              1         263       
admit               3         264       
advanc              1         267       
afc                 1         268       
afcon               1         269       
affect              1         270       
afghanistan         1         271       
afneil              1         272       
after               11        273       
ag                  1         284       
again               4         285       
against             2         289       
agenc               2         291       
agnew               1         293       
ago                 3         294       
agoni               1         297       
agre                3         298       
ahead               1         301       
aid                 2         302       
airborn             1         304       
aisl                2         305       
akl                 1         307       
al                  3         308       
alberta             1         311       
aliciamenendez      1         312       
align               2         313       
all                 48        315       
allah               2         363       
allow               2         365       
almost              4         367       
alon                1         371       
along               4         372       
alreadi             1         376       
also                7         377       
am                  3         384       
ambassador          1         387       
american            9         388       
among               2         397       
amount              1         399       
ampl                1         400       
an                  15        401       
and                 113       416       
anger               1         529       
angri               1         530       
ani                 5         531       
announc             5         536       
annual              2         541       
anti                3         543       
antibodi            2         546       
anymor              1         548       
anyon               3         549       
anyth               2         552       
aorta               1         554       
apart               1         555       
app                 1         556       
appear              2         557       
appendix            1         559       
appli               1         560       
approv              1         561       
ar                  63        562       
arbitrarili         1         625       
area                2         626       
aren't              1         628       
argument            1         629       
armi                1         630       
around              5         631       
arrest              1         636       
arriv               1         637       
articul             1         638       
as                  25        639       
ascend              1         664       
ask                 1         665       
astein              1         666       
astonish            1         667       
at                  21        668       
athlet              1         689       
attack              3         690       
attempt             1         693       
attend              1         694       
authoritarian       2         695       
avail               4         697       
avalanch            1         701       
averag              1         702       
avoid               1         703       
aw                  1         704       
awai                3         705       
aymanmsnbc          1         708       
b.c                 1         709       
babi                3         710       
back                11        713       
backlog             2         724       
bad                 4         726       
badli               1         730       
bail                2         731       
ban                 1         733       
bank                1         734       
barber              1         735       
bare                1         736       
base                2         737       
basi                1         739       
basic               1         740       
bastard             1         741       
bc                  4         742       
bcpoli              1         746       
be                  39        747       
bear                1         786       
beat                1         787       
becaus              9         788       
becom               1         797       
been                8         798       
befor               5         806       
began               1         811       
behav               2         812       
behind              2         814       
beij                1         816       
believ              2         817       
below               1         819       
benefit             3         820       
bengal              2         823       
bernd               1         825       
best                2         826       
bet                 1         828       
bettedavi           1         829       
better              3         830       
between             1         833       
bgi                 1         834       
biden               3         835       
big                 1         838       
biggest             1         839       
bill                1         840       
billion             2         841       
bin                 1         843       
bingo               1         844       
bio                 1         845       
birth               1         846       
biscuit             1         847       
bit                 1         848       
bitch               1         849       
bitcoin             1         850       
bjp                 1         851       
blame               5         852       
bleed               1         857       
blink               1         858       
block               1         859       
blown               1         860       
blue                2         861       
bob                 1         863       
boi                 1         864       
bolt                1         865       
booster             1         866       
bori                1         867       
boss                1         868       
both                3         869       
bout                1         872       
box                 1         873       
brain               2         874       
break               4         876       
breakthrough        1         880       
brick               1         881       
bridg               1         882       
brief               1         883       
bring               1         884       
british             1         885       
broadcast           1         886       
broke               1         887       
brought             2         888       
brunt               1         890       
bu                  1         891       
buck                1         892       
budget              1         893       
bui                 2         894       
build               1         896       
busi                1         897       
but                 27        898       
butcher             1         925       
by                  17        926       
c4new               1         943       
cabinet             1         944       
call                2         945       
came                1         947       
camp                1         948       
campaign            2         949       
can                 12        951       
can't               2         963       
canada              4         965       
canadian            3         969       
cancel              2         972       
cannot              3         974       
cant                1         977       
card                2         978       
cardiologist        1         980       
care                8         981       
case                5         989       
cash                1         994       
catch               1         995       
caus                2         996       
cc                  1         998       
cdc                 2         999       
cellar              1         1001      
center              1         1002      
central             1         1003      
certain             3         1004      
chain               2         1007      
chair               1         1009      
chanc               2         1010      
chang               9         1012      
chao                1         1021      
charg               1         1022      
charl               4         1023      
cheap               1         1027      
check               1         1028      
chess               1         1029      
chicken             1         1030      
chief               1         1031      
child               2         1032      
children            5         1034      
china               3         1039      
chines              1         1042      
chiropractor        1         1043      
chri                1         1044      
chronic             1         1045      
circul              2         1046      
citi                1         1048      
citizen             1         1049      
ck                  1         1050      
claim               2         1051      
clarenc             1         1053      
class               2         1054      
classicfilm         1         1056      
clear               3         1057      
climat              1         1060      
clinic              1         1061      
close               2         1062      
cloth               2         1064      
cm                  2         1066      
cnn                 1         1068      
cnn'                1         1069      
co                  2         1070      
coach               1         1072      
coddl               1         1073      
coerciv             2         1074      
coffe               1         1076      
cold                2         1077      
collag              1         1079      
collect             1         1080      
colorado            2         1081      
columbia            1         1083      
come                7         1084      
commensur           1         1091      
comment             1         1092      
commit              1         1093      
common              1         1094      
commun              1         1095      
compani             1         1096      
complain            1         1097      
complet             1         1098      
concern             1         1099      
conflict            2         1100      
congress            1         1102      
connect             1         1103      
conserv             3         1104      
consid              2         1107      
consult             2         1109      
contagi             1         1111      
content             1         1112      
context             1         1113      
